updated,,,,votes,,,,,,,candidate,,,,,party,percentage
2 p.m. April 5,2,2,1,"19,098",,1,1,0,0,Mayor,Lisa Calderón,120135,1692,173,0,,15.90%
,2,2,2,861,,2,1,0,0,Mayor,Trinidad Rodriguez,120135,1692,173,0,,0.72%
,2,2,3,552,,3,1,0,0,Mayor,Aurelio Martinez,120135,1692,173,0,,0.46%
,2,2,4,"1,272",,4,1,0,0,Mayor,Thomas Wolf,120135,1692,173,0,,1.06%
,2,2,5,536,,5,1,0,0,Mayor,Al Gardner,120135,1692,173,0,,0.45%
,2,2,6,"1,119",,6,1,0,0,Mayor,Terrance Roberts,120135,1692,173,0,,0.93%
,2,2,8,133,,8,1,0,0,Mayor,Renate Behrens,120135,1692,173,0,,0.11%
,2,2,9,"6,113",,9,1,0,0,Mayor,Chris Hansen,120135,1692,173,0,,5.09%
,2,2,10,"29,636",,10,1,0,0,Mayor,Mike Johnston,120135,1692,173,0,,24.67%
,2,2,11,502,,11,1,0,0,Mayor,James Walsh,120135,1692,173,0,,0.42%
,2,2,12,"1,665",,12,1,0,0,Mayor,Ean Thomas Tafoya,120135,1692,173,0,,1.39%
,2,2,13,"15,082",,13,1,0,0,Mayor,Andy Rougeot,120135,1692,173,0,,12.55%
,2,2,14,"11,728",,14,1,0,0,Mayor,Leslie Herod,120135,1692,173,0,,9.76%
,2,2,15,116,,15,1,0,0,Mayor,Robert Treta,120135,1692,173,0,,0.10%
,2,2,16,"5,595",,16,1,0,0,Mayor,"Deborah ""Debbie"" Ortega",120135,1692,173,0,,4.66%
,2,2,17,"26,104",,17,1,0,0,Mayor,Kelly Brough,120135,1692,173,0,,21.73%
,2,2,18,23,,,1,0,1,Mayor,Write-in,120135,1692,173,0,,0.02%
